sigma_theta,sigma_c,sigma_t,stress_ratio,brittleness_index,Wet,depth,rockburst_grade,rock_quality_index,seismic_energy,fracture_volume,total_seismic_energy,seismic_pulses
89.56,187.17,19.17,0.478,9.764,7.27,710.0,,,,,,
48.0,120.0,1.5,0.4,80.0,5.8,710.0,,,,,,
63.0,115.0,1.5,0.548,76.667,5.7,710.0,,,,,,
49.5,110.0,1.5,0.45,73.333,5.7,710.0,,,,,,
30.9,82.56,6.5,0.374,12.702,3.2,710.0,,,,,,
89.0,128.6,13.2,0.692,9.742,4.9,710.0,,,,,,
12.3,237.1,17.66,0.052,13.426,6.9,710.0,,,,,,
55.6,256.5,18.9,0.217,13.571,9.1,710.0,,,,,,
91.3,225.6,17.2,0.405,13.116,7.3,710.0,,,,,,
61.0,171.5,22.6,0.356,7.588,7.5,710.0,,,,,,
108.4,138.4,7.7,0.783,17.974,1.9,710.0,,,,,,
69.8,198.0,22.4,0.353,8.839,4.68,710.0,,,,,,
105.0,171.3,22.6,0.613,7.58,7.27,710.0,,,,,,
105.0,237.16,17.66,0.443,13.429,6.38,710.0,,,,,,
105.0,304.21,20.9,0.345,14.556,10.57,710.0,,,,,,
25.49,54.2,2.49,0.47,21.767,3.17,710.0,,,,,,
72.07,147.09,10.98,0.49,13.396,6.53,710.0,,,,,,
21.8,160.0,5.2,0.136,30.769,2.22,710.0,,,,,,
20.9,160.0,5.2,0.131,30.769,2.22,710.0,,,,,,
12.1,160.0,5.2,0.076,30.769,2.22,710.0,,,,,,
75.0,170.0,11.3,0.441,15.044,9.0,710.0,,,,,,
105.0,128.61,13.0,0.816,9.893,5.76,710.0,,,,,,
105.0,304.0,9.12,0.345,33.333,5.76,710.0,,,,,,
105.0,306.58,13.9,0.342,22.056,6.38,710.0,,,,,,
7.5,52.0,3.7,0.144,14.054,1.3,710.0,,,,,,
24.93,99.7,4.8,0.25,20.771,3.8,710.0,,,,,,
14.96,99.7,4.8,0.15,20.771,3.8,710.0,,,,,,
90.0,170.0,11.3,0.53,15.04,9.0,200.0,2.0,,,,,
90.0,220.0,7.4,0.41,29.73,7.3,194.0,1.0,,,,,
62.6,165.0,9.4,0.38,17.53,9.0,400.0,1.0,,,,,
55.4,176.0,7.3,0.32,24.11,9.3,300.0,2.0,,,,,
30.0,88.7,3.7,0.34,23.97,6.6,400.0,2.0,,,,,
48.75,180.0,8.3,0.27,21.69,5.0,700.0,2.0,,,,,
80.0,180.0,6.7,0.44,26.87,5.5,250.0,1.0,,,,,
89.0,236.0,8.3,0.38,28.43,5.0,890.0,2.0,,,,,
98.6,120.0,6.5,0.82,18.46,3.8,150.0,2.0,,,,,
50.0,130.0,6.0,0.38,21.67,5.0,7.5,2.0,,,,,
18.7,82.0,10.9,0.23,7.52,1.5,469.0,0.0,,,,,
28.6,123.6,11.5,0.23,10.75,2.5,460.0,0.0,,,,,
72.0,120.5,14.9,0.6,8.09,2.5,580.0,0.0,,,,,
44.6,130.5,11.09,0.34,11.77,4.6,530.0,0.0,,,,,
66.1,135.2,10.9,0.49,12.4,4.6,569.0,1.0,,,,,
99.4,129.5,11.3,0.77,11.46,4.6,650.0,1.0,,,,,
109.5,155.8,11.77,0.7,13.24,5.2,650.0,2.0,,,,,
38.3,90.1,10.2,0.43,8.83,3.7,550.0,2.0,,,,,
109.9,128.5,9.63,0.86,13.34,8.1,670.0,3.0,,,,,
28.6,122.0,12.0,0.23,10.22,2.5,520.0,2.0,,,,,
19.8,132.0,11.5,0.23,11.52,4.6,552.0,2.0,,,,,
33.6,156.0,10.8,0.22,14.45,5.2,583.0,2.0,,,,,
26.9,92.8,9.47,0.29,9.8,3.7,567.0,2.0,,,,,
55.9,128.0,6.29,0.44,20.3,8.1,670.0,3.0,,,,,
59.9,96.6,11.7,0.62,8.26,1.8,570.0,1.0,,,,,
68.0,107.0,6.1,0.64,17.51,7.2,600.0,3.0,,,,,
105.5,187.0,19.2,0.56,9.74,7.27,850.0,2.0,,,,,
105.5,170.0,12.1,0.62,14.05,5.76,850.0,2.0,,,,,
105.5,190.0,17.1,0.55,11.11,3.97,790.0,2.0,,,,,
15.2,53.8,5.56,0.28,9.68,1.92,510.0,0.0,,,,,
88.9,142.0,13.2,0.63,10.7,3.62,510.0,3.0,,,,,
59.82,85.8,7.31,0.7,11.7,2.78,510.0,2.0,,,,,
32.3,67.4,6.74,0.48,10.1,1.1,510.0,0.0,,,,,
77.69,74.04,8.96,1.05,8.26,1.33,805.0,0.0,,,,,
77.07,78.3,6.8,0.98,11.51,3.11,795.0,2.0,,,,,
67.18,132.2,16.4,0.51,8.06,3.97,635.0,2.0,,,,,
